[2025-12-03T15:56:50.419Z] Starting NASB1995 cleanup (v3)...
[2025-12-03T15:56:50.426Z] Reading input file: C:\WindSurf\ohbc_website\scripts\NASB1995.txt
[2025-12-03T15:56:50.439Z] Starting Bible text cleanup...
[2025-12-03T15:56:50.446Z] Found book: GENESIS
[2025-12-03T15:56:50.556Z] Found chapter: 8
[2025-12-03T15:56:50.556Z] Found chapter: 9
[2025-12-03T15:56:50.557Z] Found chapter: 10
[2025-12-03T15:56:50.557Z] Found chapter: 11
[2025-12-03T15:56:50.557Z] Found chapter: 12
[2025-12-03T15:56:50.558Z] Found chapter: 13
[2025-12-03T15:56:50.558Z] Found chapter: 14
[2025-12-03T15:56:50.558Z] Found chapter: 15
[2025-12-03T15:56:50.558Z] Found chapter: 16
[2025-12-03T15:56:50.559Z] Found chapter: 17
[2025-12-03T15:56:50.559Z] Found chapter: 18
[2025-12-03T15:56:50.559Z] Found chapter: 19
[2025-12-03T15:56:50.560Z] Found chapter: 20
[2025-12-03T15:56:50.560Z] Found chapter: 21
[2025-12-03T15:56:50.560Z] Found chapter: 22
[2025-12-03T15:56:50.561Z] Found book: End of 1 KINGS
[2025-12-03T15:56:50.561Z] Found book: 2 KINGS
[2025-12-03T15:56:50.562Z] Found chapter: 1
[2025-12-03T15:56:50.562Z] Found chapter: 2
[2025-12-03T15:56:50.562Z] Found chapter: 3
[2025-12-03T15:56:50.563Z] Found chapter: 4
[2025-12-03T15:56:50.563Z] Found chapter: 5
[2025-12-03T15:56:50.563Z] Found chapter: 6
[2025-12-03T15:56:50.564Z] Found chapter: 7
[2025-12-03T15:56:50.564Z] Found chapter: 8
[2025-12-03T15:56:50.564Z] Found chapter: 9
[2025-12-03T15:56:50.565Z] Found chapter: 10
[2025-12-03T15:56:50.565Z] Found chapter: 11
[2025-12-03T15:56:50.565Z] Found chapter: 12
[2025-12-03T15:56:50.566Z] Found chapter: 13
[2025-12-03T15:56:50.566Z] Found chapter: 14
