[2025-12-03T16:16:24.872Z] Starting robust extraction from NASB1995.txt...
[2025-12-03T16:16:24.962Z] Found chapter: Chapter 15
[2025-12-03T16:16:24.963Z] Found chapter: Chapter 16
[2025-12-03T16:16:24.963Z] Found chapter: Chapter 17
[2025-12-03T16:16:24.963Z] Found chapter: Chapter 18
[2025-12-03T16:16:24.963Z] Found chapter: Chapter 19
[2025-12-03T16:16:24.963Z] Found chapter: Chapter 20
[2025-12-03T16:16:24.964Z] Found chapter: Chapter 21
[2025-12-03T16:16:24.964Z] Found chapter: Chapter 22
[2025-12-03T16:16:24.964Z] Processed 4000 of 32472 lines...
[2025-12-03T16:16:24.964Z] Found chapter: Chapter 23
[2025-12-03T16:16:24.964Z] Found chapter: Chapter 24
[2025-12-03T16:16:24.965Z] Found book: End of 2 SAMUEL
[2025-12-03T16:16:24.965Z] Found book: 1 KINGS
[2025-12-03T16:16:24.965Z] Found chapter: Chapter 1
[2025-12-03T16:16:24.965Z] Found chapter: Chapter 2
[2025-12-03T16:16:24.965Z] Found chapter: Chapter 3
[2025-12-03T16:16:24.966Z] Found chapter: Chapter 4
[2025-12-03T16:16:24.966Z] Found chapter: Chapter 5
[2025-12-03T16:16:24.966Z] Found chapter: Chapter 6
[2025-12-03T16:16:24.966Z] Found chapter: Chapter 7
[2025-12-03T16:16:24.966Z] Found chapter: Chapter 8
[2025-12-03T16:16:24.967Z] Found chapter: Chapter 9
[2025-12-03T16:16:24.967Z] Found chapter: Chapter 10
[2025-12-03T16:16:24.967Z] Found chapter: Chapter 11
[2025-12-03T16:16:24.967Z] Found chapter: Chapter 12
[2025-12-03T16:16:24.967Z] Found chapter: Chapter 13
[2025-12-03T16:16:24.968Z] Found chapter: Chapter 14
[2025-12-03T16:16:24.968Z] Found chapter: Chapter 15
[2025-12-03T16:16:24.968Z] Found chapter: Chapter 16
[2025-12-03T16:16:24.968Z] Found chapter: Chapter 17
[2025-12-03T16:16:24.968Z] Found chapter: Chapter 18
[2025-12-03T16:16:24.969Z] Found chapter: Chapter 19
[2025-12-03T16:16:24.969Z] Found chapter: Chapter 20
[2025-12-03T16:16:24.969Z] Found chapter: Chapter 21
[2025-12-03T16:16:24.969Z] Found chapter: Chapter 22
[2025-12-03T16:16:24.969Z] Found book: End of 1 KINGS
[2025-12-03T16:16:24.970Z] Found book: 2 KINGS
[2025-12-03T16:16:24.970Z] Found chapter: Chapter 1
[2025-12-03T16:16:24.970Z] Found chapter: Chapter 2
[2025-12-03T16:16:24.970Z] Found chapter: Chapter 3
[2025-12-03T16:16:24.970Z] Found chapter: Chapter 4
[2025-12-03T16:16:24.970Z] Found chapter: Chapter 5
