[2025-12-03T15:58:41.828Z] Starting NASB1995 cleanup (v4)...
[2025-12-03T15:58:41.835Z] Reading input file: C:\WindSurf\ohbc_website\scripts\NASB1995.txt
[2025-12-03T15:58:41.853Z] Starting Bible text cleanup...
[2025-12-03T15:58:41.860Z] Found book: GENESIS
[2025-12-03T15:58:42.000Z] Found chapter: 13
[2025-12-03T15:58:42.001Z] Found chapter: 14
[2025-12-03T15:58:42.001Z] Found chapter: 15
[2025-12-03T15:58:42.001Z] Found chapter: 16
[2025-12-03T15:58:42.002Z] Found chapter: 17
[2025-12-03T15:58:42.002Z] Found chapter: 18
[2025-12-03T15:58:42.002Z] Found chapter: 19
[2025-12-03T15:58:42.003Z] Found chapter: 20
[2025-12-03T15:58:42.003Z] Found chapter: 21
[2025-12-03T15:58:42.003Z] Found chapter: 22
[2025-12-03T15:58:42.004Z] Found chapter: 23
[2025-12-03T15:58:42.004Z] Found chapter: 24
[2025-12-03T15:58:42.004Z] Found chapter: 25
[2025-12-03T15:58:42.004Z] Found chapter: 26
[2025-12-03T15:58:42.005Z] Found chapter: 27
[2025-12-03T15:58:42.005Z] Found chapter: 28
[2025-12-03T15:58:42.005Z] Found chapter: 29
[2025-12-03T15:58:42.006Z] Found chapter: 30
[2025-12-03T15:58:42.006Z] Found chapter: 31
[2025-12-03T15:58:42.006Z] Found chapter: 32
[2025-12-03T15:58:42.007Z] Found chapter: 33
[2025-12-03T15:58:42.008Z] Found chapter: 34
[2025-12-03T15:58:42.008Z] Found chapter: 35
[2025-12-03T15:58:42.008Z] Found chapter: 36
[2025-12-03T15:58:42.009Z] Found book: End of 2 CHRONICLES
[2025-12-03T15:58:42.009Z] Found book: EZRA
[2025-12-03T15:58:42.009Z] Found chapter: 1
[2025-12-03T15:58:42.010Z] Found chapter: 2
[2025-12-03T15:58:42.010Z] Found chapter: 3
[2025-12-03T15:58:42.010Z] Found chapter: 4
[2025-12-03T15:58:42.010Z] Found chapter: 5
[2025-12-03T15:58:42.011Z] Found chapter: 6
[2025-12-03T15:58:42.011Z] Found chapter: 7
[2025-12-03T15:58:42.011Z] Found chapter: 8
[2025-12-03T15:58:42.012Z] Found chapter: 9
[2025-12-03T15:58:42.012Z] Found chapter: 10
[2025-12-03T15:58:42.012Z] Found book: Endo of EZRA
[2025-12-03T15:58:42.013Z] Found book: NEHEMIAH
[2025-12-03T15:58:42.013Z] Found chapter: 1
[2025-12-03T15:58:42.013Z] Found chapter: 2
[2025-12-03T15:58:42.014Z] Found chapter: 3
[2025-12-03T15:58:42.014Z] Found chapter: 4
[2025-12-03T15:58:42.014Z] Found chapter: 5
[2025-12-03T15:58:42.015Z] Found chapter: 6
[2025-12-03T15:58:42.015Z] Found chapter: 8
[2025-12-03T15:58:42.015Z] Found chapter: 9
[2025-12-03T15:58:42.016Z] Found chapter: 10
[2025-12-03T15:58:42.016Z] Found chapter: 11
[2025-12-03T15:58:42.016Z] Found chapter: 12
[2025-12-03T15:58:42.017Z] Found chapter: 13
[2025-12-03T15:58:42.017Z] Found book: End of NEHEMIAH
[2025-12-03T15:58:42.017Z] Found book: ESTHER
[2025-12-03T15:58:42.018Z] Found chapter: 1
[2025-12-03T15:58:42.018Z] Found chapter: 2
[2025-12-03T15:58:42.018Z] Found chapter: 3
[2025-12-03T15:58:42.019Z] Found chapter: 4
[2025-12-03T15:58:42.019Z] Found chapter: 5
[2025-12-03T15:58:42.019Z] Found chapter: 6
[2025-12-03T15:58:42.019Z] Found chapter: 7
[2025-12-03T15:58:42.020Z] Found chapter: 8
[2025-12-03T15:58:42.020Z] Found chapter: 9
[2025-12-03T15:58:42.020Z] Found chapter: 10
[2025-12-03T15:58:42.021Z] Found book: End of ESTHER
[2025-12-03T15:58:42.021Z] Found book: JOB
[2025-12-03T15:58:42.021Z] Found chapter: 1
[2025-12-03T15:58:42.022Z] Found chapter: 2
[2025-12-03T15:58:42.022Z] Found chapter: 3
[2025-12-03T15:58:42.022Z] Found chapter: 4
[2025-12-03T15:58:42.023Z] Found chapter: 5
[2025-12-03T15:58:42.023Z] Found chapter: 6
[2025-12-03T15:58:42.023Z] Found chapter: 7
[2025-12-03T15:58:42.023Z] Found chapter: 8
[2025-12-03T15:58:42.024Z] Found chapter: 9
[2025-12-03T15:58:42.024Z] Found chapter: 10
[2025-12-03T15:58:42.024Z] Found chapter: 11
[2025-12-03T15:58:42.025Z] Found chapter: 12
[2025-12-03T15:58:42.025Z] Found chapter: 13
[2025-12-03T15:58:42.025Z] Found chapter: 14
[2025-12-03T15:58:42.026Z] Found chapter: 15
[2025-12-03T15:58:42.026Z] Found chapter: 16
[2025-12-03T15:58:42.026Z] Found chapter: 17
[2025-12-03T15:58:42.027Z] Found chapter: 18
[2025-12-03T15:58:42.027Z] Found chapter: 19
[2025-12-03T15:58:42.027Z] Found chapter: 20
[2025-12-03T15:58:42.028Z] Found chapter: 21
