[2025-12-03T16:00:03.154Z] Starting NASB1995 cleanup (v5)...
[2025-12-03T16:00:03.160Z] Reading input file: C:\WindSurf\ohbc_website\scripts\NASB1995.txt
[2025-12-03T16:00:03.178Z] Starting Bible text cleanup...
[2025-12-03T16:00:03.179Z] Preprocessing content to join wrapped lines...
[2025-12-03T16:00:03.209Z] Found book: GENESIS
[2025-12-03T16:00:03.289Z] Found chapter: 17
[2025-12-03T16:00:03.289Z] Found chapter: 18
[2025-12-03T16:00:03.289Z] Found chapter: 19
[2025-12-03T16:00:03.290Z] Found chapter: 20
[2025-12-03T16:00:03.290Z] Found chapter: 21
[2025-12-03T16:00:03.290Z] Found book: End of JUDGES
[2025-12-03T16:00:03.290Z] Found book: RUTH
[2025-12-03T16:00:03.291Z] Found chapter: 1
[2025-12-03T16:00:03.291Z] Found chapter: 2
[2025-12-03T16:00:03.291Z] Found chapter: 3
[2025-12-03T16:00:03.292Z] Found chapter: 4
[2025-12-03T16:00:03.292Z] Found book: End of RUTH
[2025-12-03T16:00:03.292Z] Found book: 1 SAMUEL
[2025-12-03T16:00:03.293Z] Found chapter: 1
[2025-12-03T16:00:03.293Z] Found chapter: 2
[2025-12-03T16:00:03.293Z] Found chapter: 3
[2025-12-03T16:00:03.293Z] Found chapter: 4
[2025-12-03T16:00:03.294Z] Found chapter: 5
[2025-12-03T16:00:03.294Z] Found chapter: 6
[2025-12-03T16:00:03.294Z] Found chapter: 7
[2025-12-03T16:00:03.295Z] Found chapter: 8
[2025-12-03T16:00:03.295Z] Found chapter: 9
[2025-12-03T16:00:03.295Z] Found chapter: 10
[2025-12-03T16:00:03.296Z] Found chapter: 11
[2025-12-03T16:00:03.296Z] Found chapter: 12
[2025-12-03T16:00:03.296Z] Found chapter: 13
[2025-12-03T16:00:03.297Z] Found chapter: 14
[2025-12-03T16:00:03.297Z] Found chapter: 15
[2025-12-03T16:00:03.297Z] Found chapter: 16
[2025-12-03T16:00:03.298Z] Found chapter: 17
[2025-12-03T16:00:03.298Z] Found chapter: 18
[2025-12-03T16:00:03.299Z] Found chapter: 19
[2025-12-03T16:00:03.299Z] Found chapter: 20
[2025-12-03T16:00:03.299Z] Found chapter: 21
[2025-12-03T16:00:03.300Z] Found chapter: 22
[2025-12-03T16:00:03.300Z] Found chapter: 23
[2025-12-03T16:00:03.300Z] Found chapter: 24
[2025-12-03T16:00:03.300Z] Found chapter: 25
[2025-12-03T16:00:03.301Z] Found chapter: 26
[2025-12-03T16:00:03.301Z] Found chapter: 27
[2025-12-03T16:00:03.301Z] Found chapter: 28
[2025-12-03T16:00:03.302Z] Found chapter: 29
[2025-12-03T16:00:03.302Z] Found chapter: 30
[2025-12-03T16:00:03.302Z] Found chapter: 31
[2025-12-03T16:00:03.303Z] Found book: End of 1 SAMUEL
[2025-12-03T16:00:03.303Z] Found book: 2 SAMUEL
[2025-12-03T16:00:03.303Z] Found chapter: 1
[2025-12-03T16:00:03.304Z] Found chapter: 2
[2025-12-03T16:00:03.304Z] Found chapter: 3
[2025-12-03T16:00:03.304Z] Found chapter: 4
[2025-12-03T16:00:03.305Z] Found chapter: 5
[2025-12-03T16:00:03.305Z] Found chapter: 6
[2025-12-03T16:00:03.305Z] Found chapter: 7
[2025-12-03T16:00:03.306Z] Found chapter: 8
[2025-12-03T16:00:03.306Z] Found chapter: 9
[2025-12-03T16:00:03.306Z] Found chapter: 10
[2025-12-03T16:00:03.307Z] Found chapter: 11
[2025-12-03T16:00:03.307Z] Found chapter: 12
[2025-12-03T16:00:03.307Z] Found chapter: 13
[2025-12-03T16:00:03.308Z] Found chapter: 14
[2025-12-03T16:00:03.308Z] Found chapter: 15
[2025-12-03T16:00:03.308Z] Found chapter: 16
[2025-12-03T16:00:03.309Z] Found chapter: 17
[2025-12-03T16:00:03.309Z] Found chapter: 18
[2025-12-03T16:00:03.309Z] Found chapter: 19
[2025-12-03T16:00:03.309Z] Found chapter: 20
[2025-12-03T16:00:03.310Z] Found chapter: 21
[2025-12-03T16:00:03.310Z] Found chapter: 22
[2025-12-03T16:00:03.310Z] Found chapter: 23
[2025-12-03T16:00:03.311Z] Found chapter: 24
[2025-12-03T16:00:03.311Z] Found book: End of 2 SAMUEL
[2025-12-03T16:00:03.311Z] Found book: 1 KINGS
[2025-12-03T16:00:03.312Z] Found chapter: 1
[2025-12-03T16:00:03.312Z] Found chapter: 2
[2025-12-03T16:00:03.312Z] Found chapter: 3
[2025-12-03T16:00:03.313Z] Found chapter: 4
[2025-12-03T16:00:03.313Z] Found chapter: 5
[2025-12-03T16:00:03.313Z] Found chapter: 6
[2025-12-03T16:00:03.313Z] Found chapter: 7
[2025-12-03T16:00:03.314Z] Found chapter: 8
[2025-12-03T16:00:03.314Z] Found chapter: 9
[2025-12-03T16:00:03.315Z] Found chapter: 10
[2025-12-03T16:00:03.315Z] Found chapter: 11
[2025-12-03T16:00:03.315Z] Found chapter: 12
[2025-12-03T16:00:03.316Z] Found chapter: 13
[2025-12-03T16:00:03.316Z] Found chapter: 14
[2025-12-03T16:00:03.316Z] Found chapter: 15
[2025-12-03T16:00:03.317Z] Found chapter: 16
[2025-12-03T16:00:03.317Z] Found chapter: 17
[2025-12-03T16:00:03.317Z] Found chapter: 18
[2025-12-03T16:00:03.318Z] Found chapter: 19
[2025-12-03T16:00:03.318Z] Found chapter: 20
[2025-12-03T16:00:03.318Z] Found chapter: 21
[2025-12-03T16:00:03.319Z] Found chapter: 22
[2025-12-03T16:00:03.319Z] Found book: End of 1 KINGS
[2025-12-03T16:00:03.319Z] Found book: 2 KINGS
[2025-12-03T16:00:03.320Z] Found chapter: 1
[2025-12-03T16:00:03.320Z] Found chapter: 2
[2025-12-03T16:00:03.320Z] Found chapter: 3
[2025-12-03T16:00:03.321Z] Found chapter: 4
[2025-12-03T16:00:03.321Z] Found chapter: 5
[2025-12-03T16:00:03.321Z] Found chapter: 6
[2025-12-03T16:00:03.322Z] Found chapter: 7
[2025-12-03T16:00:03.322Z] Found chapter: 8
[2025-12-03T16:00:03.322Z] Found chapter: 9
[2025-12-03T16:00:03.322Z] Found chapter: 10
[2025-12-03T16:00:03.323Z] Found chapter: 11
[2025-12-03T16:00:03.323Z] Found chapter: 12
[2025-12-03T16:00:03.323Z] Found chapter: 13
